id,categoryId,country,name,description,person,phone,email,website,wechat,logo,capacity,size,export,commitment
1,3,Burundi布隆迪,KLARIZA SPRL,"Welcome to Klariza SPRL, a Burundian company dedicated to producing high-quality, natural cosmetics products from Moringa. Our mission is to promote natural beauty and wellness while supporting. Sustainable agriculture and empowering women in our community.
欢迎来到Klariza SPRL，这家布隆迪企业致力于采用辣木原料生产高品质天然化妆品。我们的使命是倡导自然之美与健康生活，同时支持可持续农业发展，并赋能社区女性。",Mrs. Estella KAMARIZA,+257 79331250,Kcklariza.bdi@gmail.com,www.klariza.bi,wxid_25p2q1bmfa0a12,logo.jpg,10000Lts/month,35 Personne,"Rwanda / Uganda/ DR Congo Liban/ Belgium /France/ Japan / Germany
卢旺达 / 乌干达 / 刚果民主共和国 / 黎巴嫩 / 比利时 / 法国 / 日本 / 德国","Klariza SPRL is committed to social responsibility through job creation, sustainability, and empowering women in Burundi.
克拉丽莎有限责任公司致力于通过创造就业机会、推动可持续发展以及赋权布隆迪女性来履行社会责任。"
2,3,Cameroon喀麦隆,DIDA Clothing (PPT),"The depth of Black history and culture serves as the inspiration for every Dida Clothing design, elevating each item beyond simple apparel to a statement of legacy. Wearing our clothing honors your heritage with each stride, displaying a strong and proud legacy. Unapologetically and with confidence, display your Black pride to the world. Let whatever you wear serve as a monument to your identity and to our ancestors.
黑人历史与文化的深厚底蕴，是Dida服饰每一件设计的灵感源泉，使每件作品超越普通服饰的范畴，成为传承精神的宣言。穿着我们的服饰，每一步都彰显着对血脉传承的致敬，展现出坚韧而自豪的传承。毫无歉意且充满自信地向世界展示你的黑人骄傲。让你的着装成为身份认同的纪念碑，更成为我们祖先的永恒礼赞。",,+237 675 405 221,INFO@DIDACLOTHING.COM,https://didaclothing.com/,,,,,,
3,3,Ethiopia埃塞俄比亚,Jano Handicraft Enterprise -- "Shimena" with Brand name,"Shimena - Weaving Friendships showcases Ethiopia's rich handwoven heritage through sustainable textile craft. Vision: Empowering women and preserving Ethiopian handwoven textile heritage.
希梅纳——编织友谊，通过可持续纺织工艺展现埃塞俄比亚丰富的手工编织传统。愿景：赋权女性，守护埃塞俄比亚手工纺织遗产。",Mr. Firew Konjo,-854883,Jannocraft5@gmail.com,www.shimena.net,Firew Konjo,logo.jpg,"800–1,000 pieces/month",40-50 artisans (mostly women and youth),"USA, Germany, Kenya
美国，德国，肯尼亚","Empowering women and elderly artisans, natural dyeing, eco-friendly production, tree planting, and cultural preservation.赋权女性与老年工匠，天然染色工艺，环保生产，植树造林，文化传承。"
4,3,Ghana加纳,Sava Shea Company Limited,Our goal is to create sustainable and results-driven natural skincare products in accordance with circular economy principles using sheabutter and natural upcycled ingredients like fruits and seeds. Our vision is to nurture lasting and trusting partnerships with our customers and suppliers and create a future where the environment and quality of life of rural young women improves in a meaningful way. 我们的目标是遵循循环经济原则，运用乳木果油及水果、种子等天然升级再造原料，打造可持续且注重实效的天然护肤产品。我们致力于与客户及供应商建立持久互信的合作关系，共同创造一个让乡村年轻女性的生活质量和环境得到切实改善的美好未来。,Ms. Ruth Wewura Guribie,+233246990882,savasheabutter@gmail.com,www.savasheashop.com,,logo.jpg,5 tons/month,12 persons,"Kenya, Tanzania, Zambia, Barbados, Saudi Arabia, United Kingdom
肯尼亚、坦桑尼亚、赞比亚、巴巴多斯、沙特阿拉伯、英国","We provide young rural women in Northern Ghana with skills training in shea butter processing and skincare production, empowering them to break free from the cycle of poverty and dependency. 我们为加纳北部农村的年轻女性提供乳木果油加工和护肤品制作的技能培训，助力她们摆脱贫困与依赖的循环。"
5,3,Jordan约旦,Green Fields Oils Factory,"Green Fields Oils Factory (est. 2004, Jordan) produces cold-pressed seed oils and steam-distilled essential oils, blended with natural carrier oils and offered in ready-to-use retail packaging (15–250 ml). This unique focus saves buyers time and cost in repackaging, ensuring shelf-ready products with ISO 22000 certification and proven export success in the USA and UAE.
绿野油厂（2004年创立于约旦）专业生产冷榨种子油与蒸汽蒸馏精油，并将其与天然基础油调配成即用型零售包装（15-250毫升规格）。这种独特的生产模式为买家节省了重新包装的时间与成本，确保产品具备ISO 22000认证的货架即用性，并已成功出口至美国和阿联酋市场。 ",Mrs. Amina Al-Ramadna,+962777735070,Info@greenfieldsjo.com,greenfieldsjo.com,wxid_raivydx9rncp12,logo.jpg,"Cold-Pressed Oils: approx. 12-15 metric tons/year across all varieties. 
Ready-to-use essential oils: approx. 20,000–30,000 units/year.",14 persons,"United Arab Emirates, United States, Saudia Arabia, Canada
阿拉伯联合酋长国、美国、沙特阿拉伯、加拿大","Packaged in recyclable, eco-friendly packaging.采用可回收、环保的包装材料。"
6,3,Kenya肯尼亚,EVERYTHING MATERNITY KENYA,"Everything Maternity is a holistic maternity and motherhood brand supporting women through pregnancy, childbirth, and postpartum. We provide maternity clothing, Mum and Baby wellness products, gifting solutions and educational services tailored to mothers’ needs. Our strength lies in merging care, comfort, style, and innovation, offering curated solutions that empower and support women during their most transformative journey.
Everything Maternity 是一个全方位孕产育儿品牌，致力于陪伴女性走过怀孕、分娩及产后阶段。我们提供孕产服饰、母婴健康产品、礼品方案及教育服务，所有产品均根据母亲需求量身定制。我们的优势在于融合关怀、舒适、时尚与创新，通过精心设计的解决方案，在女性人生最重要的蜕变旅程中赋能支持。",M/s Nduta Mwangi,+254 721601371,info@everythingmaternity.co.ke,Everythingmaternity.co.ke,wxid_r5n4c8lalz5622,,"Maternity Clothing: 2–5 Tones.
Wellness Products: 8,000 Units",19 persons,"Uganda, Tanzania, Rwanda 乌干达、坦桑尼亚、卢旺达","Empowering women through affordable maternity essentials; supporting maternal wellness and recovery, uplifting women suppliers; promoting women’s entrepreneurship. 通过提供价格实惠的孕产必需品赋能女性；支持孕产妇健康与恢复，扶持女性供应商；促进女性创业。通过提供经济实惠的孕产必需品赋能女性；支持母婴健康与产后恢复；扶持女性供应商；促进女性创业"
7,3,Kenya肯尼亚,Iko Ziwa Africa Ltd /Kiko Romeo," We are passionate about sustainability; striving to create longevity in each garment we create by using handmade and hand-dyed fabrics as well as hand-carved trims,sourced from the African continent. Our fabrics come mainly from natural fibers, including cottons, linens and silk. The silhouettes are effortlessly elegant, with attention to detail. They are treasured as works of art by our clients. 我们对可持续性充满热忱，致力于通过采用非洲大陆的手工织造与染色面料，以及手工雕刻的装饰边饰，为每件服饰注入持久生命力。面料主要选用天然纤维，包括棉、亚麻与丝绸。剪影设计优雅从容，细节处尽显匠心，令客户视之如艺术珍品。",Ms. Silvia S. Wangeci Mwai,+254720777750,sales@kikoromeo.com,www.kikoromeo.com,wxid_um18xyy7khvc22,logo.jpg,"100 handcrafted garments, 800 factory produced per month","Core team of 6, connected to 200 artisans & 3 factories","Across Africa, UK, Europe, USA, China 遍及非洲、英国、欧洲、美国、中国","Hand-crafting as a means of elevating livelihoods, High percentage of women in the workforce in managerial positions, Regenerative textiles and production practices, training and knowledge sharing. 手工艺作为提升生计的途径，女性在劳动力中担任管理职位的比例较高，再生纺织品与生产实践，培训与知识共享。"
8,3,Kenya肯尼亚,Naskia ventures limited,"Naskia Ventures Kenya Limited is a business that promotes contemporary African crafts and arts by creating market access to China, which is currently an alternative market with massive potential. Our products include Sustainable Apparel, Indigenous Home Decor and Organic Skincare. We target retail & wholesale businesses, and interior designer channels in China. 纳斯基亚创投肯尼亚有限公司致力于通过开拓中国市场——这个蕴藏巨大潜力的替代性市场——来推广当代非洲工艺与艺术。我们的产品涵盖可持续服饰、本土家居装饰及有机护肤品，主要面向中国零售与批发企业以及室内设计师渠道。",Mrs. Caroline Njoki Gathoni,+254726882002,naskiasales@gmail.com,,wxid_naskiaventures,logo.jpg,2000 pieces per month,350 women,"Singapore, Germany, South Africa, Tanzania, Zambia 新加坡、德国、南非、坦桑尼亚、赞比亚",Culture preservation 文化保护
9,3,Kyrgyzstan吉尔吉斯斯坦,Union of handicraftsmen Kyrgyz Republic,"Union of National Handicraftsmen of the Kyrgyz Republic was founded in 1989 and brings together more than 100 individual handicraft handicraftsmen from all regions of the Kyrgyz Republic. Over 80% of the total number of artisans are women. At the premises of the Union of National Handicraftsmen are organized craft workshops that manufacture ceramics, interior products made of wool and other natural fabrics, leather goods, such as bags, hats, pillowcases, scarves, toys, etc.吉尔吉斯斯坦全国手工艺人联合会，该联合会成立于 1989 年，汇集了来自吉尔吉斯斯坦各地区的 100 多名个体手工艺人。在所有手工艺人中，女性占比超过 80%。联合会内部设有手工艺工坊，主要生产各类手工艺品，具体包括陶瓷制品、羊毛及其他天然面料制成的室内装饰产品，以及皮具（如包袋、帽子）、枕套、围巾、玩具等。",Ms. Kasymbekova Asel, +996 508 877 774,info@crafts.kg,https://www.crafts.kg, wxid_n0ywdapfu37z22,Logo.jpg,50-1000 pcs,100,"USA, Europe, Russia,China ",To employ women in rural areas雇佣更多女性
10,3,Madagascar马达加斯加,MG SAKAY,"MG SAKAY offers essential and vegetable oils directly from our own plantations, in fair partnership with over 300 smallholder farmers. With strong traceability and sustainable sourcing, we supply unique oils such as Ravintsara, Eucalyptus, Geranium, Marula, Calophyllum,… combining quality, authenticity, and social impact.MG SAKAY 品牌的精油与植物油均直接采自自有种植园，且与 300 多名小农建立了公平合作关系。凭借完善的产品溯源体系与可持续采购模式，我们供应多种特色油脂，如 Ravintsara（热带香桃木）精油、桉树精油、天竺葵精油、马鲁拉油、红厚壳油等，在产品中融合了卓越品质、纯正属性与积极的社会影响力。",Mrs. Toavina RANDRIANTSOLOFO,+261 38 50 050 50,ceo@mgsakay.com; contact@mgsakay.com  ,mgsakay.com,Ala_manitra0 (MG SAKAY),logo.jpg,Up to 150 – 200 kg per month,10 employees and more than 300 smallholder farmers involved through partnerships10名员工及通过合作伙伴关系参与的300多名小农户,"France, Germany, Switzerland, China, La Réunion法国、德国、瑞士、中国、留尼汪岛","Empowerment of smallholder farmers, especially women.Promotion of sustainable and eco-friendly agriculture.Revenue redistribution to local communities Biodiversity protection through responsible sourcing小农户赋权（尤其关注女性群体） ,推动可持续生态农业发展 ,收益向当地社区再分配 ,通过负责任采购保护生物多样性"
